"Year","Entity","launches"
2002,"China",7
2002,"Japan",10
2002,"Russia",19
2002,"United Kingdom",0
2002,"United States",33
2003,"China",9
2003,"Japan",7
2003,"Russia",22
2003,"United Kingdom",1
2003,"United States",28
2004,"China",11
2004,"Japan",2
2004,"Russia",19
2004,"United Kingdom",0
2004,"United States",21
2005,"China",7
2005,"Japan",5
2005,"Russia",19
2005,"United Kingdom",3
2005,"United States",21
2006,"China",13
2006,"Japan",11
2006,"Russia",16
2006,"United Kingdom",0
2006,"United States",36
2007,"China",10
2007,"Japan",6
2007,"Russia",18
2007,"United Kingdom",2
2007,"United States",46
2008,"China",17
2008,"Japan",6
2008,"Russia",21
2008,"United Kingdom",3
2008,"United States",24
2009,"China",8
2009,"Japan",12
2009,"Russia",30
2009,"United Kingdom",3
2009,"United States",38
2010,"China",20
2010,"Japan",9
2010,"Russia",24
2010,"United Kingdom",3
2010,"United States",35
2011,"China",20
2011,"Japan",4
2011,"Russia",24
2011,"United Kingdom",2
2011,"United States",29
2012,"China",26
2012,"Japan",9
2012,"Russia",23
2012,"United Kingdom",4
2012,"United States",33
2013,"China",19
2013,"Japan",5
2013,"Russia",29
2013,"United Kingdom",7
2013,"United States",80
2014,"China",25
2014,"Japan",24
2014,"Russia",35
2014,"United Kingdom",10
2014,"United States",95
2015,"China",38
2015,"Japan",4
2015,"Russia",27
2015,"United Kingdom",7
2015,"United States",104
2016,"China",38
2016,"Japan",11
2016,"Russia",14
2016,"United Kingdom",1
2016,"United States",105
2017,"China",32
2017,"Japan",16
2017,"Russia",25
2017,"United Kingdom",7
2017,"United States",286
2018,"China",95
2018,"Japan",19
2018,"Russia",23
2018,"United Kingdom",12
2018,"United States",190
2019,"China",82
2019,"Japan",21
2019,"Russia",30
2019,"United Kingdom",14
2019,"United States",362
2020,"China",73
2020,"Japan",9
2020,"Russia",24
2020,"United Kingdom",104
2020,"United States",984
1957,"Russia",2
1958,"Russia",1
1958,"United States",7
1959,"Russia",3
1959,"United States",11
2021,"China",110
2021,"Japan",24
2021,"Russia",21
2021,"United Kingdom",289
2021,"United States",1232
2022,"China",182
2022,"Japan",12
2022,"Russia",50
2022,"United Kingdom",112
2022,"United States",1939
2023,"China",128
2023,"Japan",11
2023,"Russia",62
2023,"United Kingdom",144
2023,"United States",2166
